Vial	AP	DecOaks	Total	Age
NA	390	235	490	-0.79
NA	271	179	366	-1.32
1	232	152	326	-1.5789
5	347	209	430	-3.5675
9	250	171	324	-6.54905
13	219	157	314	-8.82445
17	163	121	273	-10.1778
21	246	195	354	-11.8927
25	117	76	304	-14.1485
29	64	31	310	-15.8294
33	51	32	310	-16.63055
37	57	25	219	-17.5244
41	30	11	184	-18.6
45	69	25	280	-19.84275
49	46	21	368	-21.7145
53	23	5	164	-23.48575
57	17	8	165	-25.1749
61	25	10	186	-26.8357
65	69	34	268	-28.2461
69	16	4	206	-29.59315
73	34	23	210	-30.5021
77	25	15	206	-31.4786
81	35	16	200	-33.00755
85	149	105	332	-34.55765
89	36	11	316	-36.4615
93	164	76	340	-38.32235
97	56	12	270	-39.2524
101	28	19	148	-40.21455
105	28	16	210	-41.5375
109	47	28	218	-42.8593
113	186	80	374	-44.4464
117	50	12	240	-46.0366
121	65	22	304	-47.649
125	57	26	316	-49.24135
129	321	178	714	-51.29545
133	192	96	422	-53.38915
137	157	104	334	-55.24255
141	145	95	312	-57.08635
145	148	79	488	-59.1252
149	160	97	332	-61.20335
153	100	54	264	-62.7759
157	44	21	201	-64.2965
161	29	9	208	-66.0044
165	102	34	388	-67.76515
169	21	9	173	-69.46685
173	43	4	293	-71.18815
177	445	130	968	-72.88285
181	1045	643	1759	-74.5871
185	242	66	1116	-76.20125
189	586	170	856	-77.79
193	333	133	1580	-79.196
197	674	405	1180	-80.54485
201	442	260	647	-81.8998
205	545	392	722	-83.2674
209	612	415	853	-84.76815
213	250	157	722	-86.38485
217	78	41	451	-88.00535
221	342	221	921	-89.6662
225	569	252	751	-91.56205
229	518	171	720	-93.65285
233	275	92	416	-95.5252
237	487	147	629	-97.21385
241	623	238	812	-98.91525
245	419	193	557	-100.67275
249	625	401	830	-102.2676
253	390	240	1074	-103.6874
257	376	240	595	-105.10195
261	349	237	490	-106.5515
265	252	106	632	-108.26875
269	264	122	794	-110.374
273	489	247	760	-112.60695
277	563	263	757	-115.0729
281	365	161	454	-117.5965
285	666	262	949	-120.3088
289	720	334	870	-122.93015
293	616	369	664	-125.5389
297	496	385	780	-128.06325
301	193	159	632	-130.31445
305	211	136	674	-132.48695
309	186	131	710	-134.42155
313	183	98	630	-136.29045
317	54	18	303	-138.05365
321	378	185	934	-139.8283
325	116	34	554	-141.4523
329	137	49	622	-143.17425
333	26	10	163	-144.7371
337	75	15	360	-146.4431
341	86	22	442	-148.05
345	69	18	467	-149.6383
349	68	9	399	-150.95055
353	187	68	637	-152.27495
357	35	6	262	-153.68925
361	32	8	258	-155.1083
365	38	10	259	-155.9085
369	40	6	292	-156.70415
373	24	12	255	-157.4118
377	51	19	266	-158.1221
381	32	5	290	-158.88815
385	29	11	222	-159.64295
389	39	5	233	-160.51735
393	33	11	242	-161.375
397	37	10	209	-162.26125
401	40	14	238	-163.14255
405	50	8	235	-164.12255
409	41	7	245	-165.1314
413	41	7	245	-166.1286
417	165	59	387	-167.1151
421	44	17	219	-168.0568
425	45	14	284	-169.00535
429	109	36	541	-169.9233
433	33	10	267	-170.82795
437	36	9	266	-171.721
441	48	14	249	-172.60685
445	70	22	401	-173.55185
449	129	36	508	-174.53755
453	150	67	461	-175.45855
457	226	45	802	-176.3753
461	143	66	536	-177.2208
465	52	20	262	-178.0325
469	37	17	228	-178.87145
473	97	40	319	-179.724
477	153	96	409	-180.6387
481	61	21	237	-181.6072
485	87	29	284	-182.6283
489	65	25	241	-183.69415
493	27	3	200	-184.65405
497	270	116	654	-185.53835
501	791	436	983	-186.5075
505	526	272	746	-187.577
509	163	67	501	-188.5998
513	425	155	867	-189.60765
517	338	129	906	-190.5697
521	361	129	894	-191.51695
525	232	98	594	-192.4736
529	360	95	1067	-193.4274
533	788	50	821	-194.4242
537	262	91	732	-195.50855
541	72	36	214	-196.65175
545	79	43	152	-197.91425
549	72	47	207	-199.13565
553	90	62	128	-200.24835
557	198	151	283	-201.3574
561	352	210	513	-202.4313
565	397	279	676	-203.52945
569	172	2	524	-204.69755
573	718	7	805	-206.1052
577	1334	146	1546	-208.3335
581	560	149	663	-210.4645
585	624	161	838	-212.25745
589	429	131	560	-214.11995
593	284	148	376	-216.40255
597	269	163	610	-218.6878
601	130	44	380	-221.25125
605	114	37	248	-223.793
609	88	23	245	-225.4518
613	279	158	461	-227.05845
617	59	30	292	-228.3832
621	964	392	1385	-229.711
625	311	168	809	-231.08715
629	72	27	454	-232.4559
633	897	421	1400	-233.8522
637	455	96	622	-235.2372
641	768	322	1000	-236.51855
645	310	139	478	-237.7998
649	541	290	636	-239.26705
653	488	371	578	-240.7127
657	231	181	860	-241.91665
661	133	31	618	-243.1036
665	71	12	324	-244.37275
669	67	17	415	-245.693
673	190	53	548	-246.9352
677	22	0	87	-248.18005
681	746	180	2157	-249.68525
685	223	37	816	-251.1956
689	198	35	613	-252.8258
693	185	28	862	-254.4933
697	262	51	1046	-256.29085
701	208	30	791	-258.1437
705	55	7	310	-260.07335
709	67	17	399	-262.0322
717	93	17	598	-265.41485
721	39	9	162	-267.02265
729	60	14	322	-270.3201
733	26	1	125	-271.95225
737	80	17	381	-273.55205
741	77	15	519	-275.12945
745	112	7	410	-276.5199
749	71	8	559	-277.89115
753	60	4	369	-279.29375
757	44	3	442	-280.7247
761	324	38	1038	-282.10625
765	102	10	584	-283.4576
769	431	50	1052	-284.9992
773	290	46	773	-286.71635
777	578	253	747	-288.4365
781	847	592	1018	-290.13465
785	548	337	710	-291.7247
789	351	257	769	-293.2335
793	238	123	720	-294.7364
797	157	90	504	-296.25155
801	224	127	408	-297.6403
805	508	316	608	-298.88055
809	178	60	414	-300.04145
813	79	0	1006	-301.1976
817	253	93	782	-302.36375
821	446	186	624	-303.58165
825	369	205	594	-304.78535
829	354	84	514	-306.112
833	254	49	382	-307.43015
837	319	120	436	-308.75555
841	185	45	750	-310.04175
845	276	145	403	-311.21735
849	291	155	407	-312.35545
853	283	160	346	-313.56065
857	405	281	484	-314.76275
861	603	411	760	-315.9959
865	259	160	404	-317.2494
869	220	116	488	-318.73285
873	175	57	442	-320.2302
877	497	140	748	-321.79765
881	597	255	808	-323.3653
885	298	134	405	-325.2132
889	694	416	759	-327.01535
893	297	122	329	-328.9673
897	132	73	206	-330.91875
901	87	46	177	-332.8423
905	56	35	243	-334.77375
909	65	33	200	-336.7928
913	60	34	187	-338.8096
917	124	31	332	-340.9967
921	117	24	355	-343.1826
925	59	4	294	-345.28855
929	113	31	341	-347.39635
933	241	65	537	-349.3897
937	330	111	678	-351.3808
941	183	34	533	-353.43845
945	113	50	417	-355.5178
949	307	165	501	-357.66595
953	137	38	358	-359.8555
957	110	25	359	-362.00405
961	153	26	374	-364.12535
965	122	21	358	-365.85845
969	73	7	555	-367.45815
973	187	23	778	-369.3984
977	235	29	686	-371.4994
981	362	122	776	-373.96795
985	67	19	596	-376.64275
989	178	47	573	-379.78525
993	67	15	446	-383.21115
997	209	87	423	-386.3481
1001	89	51	505	-389.3464
1005	126	52	772	-391.9041
1009	76	17	636	-394.0871
1013	420	196	1094	-395.78325
1017	368	176	966	-397.0735
1021	445	199	650	-398.4591
1025	419	274	646	-399.9663
1029	114	52	511	-401.5419
1033	399	193	544	-403.17765
1037	531	265	716	-405.0244
1041	247	138	807	-407.1875
1045	498	204	745	-409.05175
1049	410	217	619	-410.5428
1053	313	130	430	-412.21305
1057	414	238	540	-414.16015
1061	398	258	517	-415.96885
