Vial	MeanMcd	Age	TIC	TOC
1	0.97	-1.5789	0.03294481312	0.0148595115
2	1.13	-1.8388	0.05347863203	0.03015313
3	1.29	-2.0987	0.05747195655	0.0241760826
4	1.45	-2.8221	0.04512583007	0.028610435
5	1.61	-3.5675	0.06043331402	0.0301038266
6	1.77	-4.31285	0.06811103498	0.022731763
7	1.93	-5.05815	0.07096596817	0.0271659831
8	2.09	-5.80375	0.04555026977	0.0373642012
9	2.25	-6.54905	0.04937984685	0.0295308568
10	2.41	-7.2946	0.04474668	0.0328989795
11	2.57	-8.0397	0.01546355407	0.0237515862
12	2.73	-8.4637	0.00576504636	0.0483501848
13	2.89	-8.82445	0.00156636915	0.0475423289
14	3.05	-9.18375	0.00129655059	0.0355604894
15	3.21	-9.54475	0.00132044882	0.0295532306
16	3.35	-9.8618	0.01033478533	0.0203860146
17	3.49	-10.1778	0.000604644	0.0283552598
18	3.65	-10.53835	0.01206170033	0.0195973596
19	3.81	-10.9004	0.01388128106	0.0194155375
20	3.97	-11.34705	0.01540058326	0.0198917144
21	4.13	-11.8927	0.00035703518	0.0289198498
22	4.29	-12.4375	0.00042128326	0.0271961747
23	4.47	-13.0517	0.00055894967	0.0254827173
24	4.63	-13.5983	0.0007035413	0.0219764961
25	4.79	-14.1485	0.0007845902	0.0200882146
26	4.95	-14.69385	0.00084835313	0.0200898138
27	5.11	-15.2415	0.00040496136	0.0181864464
28	5.27	-15.62925	0.0019733784	0.0164654837
29	5.43	-15.8294	0.00163188274	0.0159092182
30	5.59	-16.0288	0.00092451974	0.0157567428
31	5.75	-16.2302	0.00053380224	0.0152236292
32	5.91	-16.43065	0.00062383541	0.0140833457
33	6.07	-16.63055	0.00133239964	0.010068582
34	6.23	-16.8302	0.00333005625	0.0099868618
35	6.39	-17.0312	0.00095887591	0.0093836251
36	6.55	-17.2536	0.00106624092	0.008192174
37	6.71	-17.5244	0.00079553642	0.0074515245
38	6.87	-17.7941	0.00141128821	0.0075869252
39	7.03	-18.0638	0.00160367841	0.0081186219
40	7.19	-18.33265	0.0005007016	0.0076638
41	7.35	-18.6	0.00138621	0.0083641367
42	7.51	-18.8653	0.0008991532	0.0085336607
43	7.67	-19.1293	0.00111064525	0.0087560962
44	7.81	-19.3743	0.00067993468	0.0076493142
45	7.97	-19.84275	0.00065652186	0.0087826547
46	8.13	-20.3121	0.000576156	0.0079785813
47	8.29	-20.7768	0.00084575833	0.0083324111
48	8.45	-21.2466	0.00038333329	0.0082879302
49	8.61	-21.7145	0.00075202842	0.0092694217
50	8.75	-22.12295	0.00064520465	0.0083095567
51	8.91	-22.5894	0.00056123163	0.007108934
52	9.07	-23.0561	0.00110344213	0.0073813146
53	9.23	-23.48575	0.0002674802	0.0069201929
54	9.39	-23.91145	0.00127672371	0.0059447448
55	9.55	-24.3304	0.00123731053	0.0066333592
56	9.71	-24.7508	0.00148484003	0.0066800812
57	9.87	-25.1749	0.00109704634	0.0075141065
58	10.03	-25.60315	0.00105930665	0.0075939467
59	10.19	-26.03195	0.00169662815	0.0076680939
60	10.35	-26.4608	0.00041377412	0.0091030306
61	10.51	-26.8357	0.00058430474	0.0096222347
62	10.67	-27.18785	0.00087331895	0.0086345889
63	10.83	-27.54175	0.00047039805	0.0085891199
64	10.99	-27.8938	0.00070251784	0.0095722218
65	11.15	-28.2461	0.00073259675	0.0081364248
66	11.31	-28.6006	0.00225884398	0.0074587806
67	11.47	-28.9553	0.0013197992	0.0064904264
68	11.63	-29.31135	0.00199928	0.00834774
69	11.79	-29.59315	0.0024256801	0.0081967627
70	11.95	-29.82315	0.0014212093	0.0083424986
71	12.11	-30.05065	0.0016984901	0.0084329703
72	12.27	-30.2758	0.00074124704	0.0091159132
73	12.43	-30.5021	0.00118489685	0.0098661498
74	12.59	-30.72745	0.00021996904	0.0085610532
75	12.75	-30.9549	0.0004912948	0.0133928309
76	12.91	-31.1818	0.00036286864	0.0122040254
77	13.07	-31.4786	0.00149093044	0.0096123978
78	13.23	-31.8607	0.00261549746	0.010050835
79	13.39	-32.2485	0.0012284158	0.0090929842
80	13.55	-32.628	0.00054490167	0.0136159767
81	13.71	-33.00755	0.00156901912	0.0106558537
82	13.87	-33.3889	0.00325119676	0.0113644254
83	14.03	-33.7682	0.00126552017	0.0121034762
84	14.19	-34.1458	0.00063673783	0.0174779425
85	14.35	-34.55765	0.00079750119	0.0185679813
86	14.51	-35.033	0.00047694606	0.0165307474
87	14.67	-35.50805	9e-04	0.01270975
88	14.83	-35.984	0.00244595191	0.0133273021
89	14.99	-36.4615	0.00408356822	0.0114885128
90	15.15	-36.9426	0.00105759468	0.0147478948
91	15.31	-37.41985	0.00063527838	0.0166876784
92	15.47	-37.89675	0.00071104442	0.0160441628
93	15.63	-38.32235	0.00035606843	0.0155915727
94	15.79	-38.5559	0.00058315466	0.0150872578
95	15.95	-38.78785	0.00190612441	0.0148512231
96	16.11	-39.0205	0.0010115449	0.0142776481
97	16.27	-39.2524	0.00962649976	0.0104265262
98	16.43	-39.48615	0.00556860246	0.0098223543
99	16.59	-39.71885	0.00192594095	0.0113034038
100	16.75	-39.9504	0.00061201296	0.0072101825
101	17.07	-40.21455	0.00130201664	0.0097728934
102	17.23	-40.5473	0.00317592407	0.0094392888
103	17.39	-40.87665	0.00067276648	0.0103429682
104	17.55	-41.206	0.00138618759	0.0114299678
105	17.71	-41.5375	0.0078757039	0.0080907712
106	17.87	-41.8661	0.00068073348	0.0106434353
107	18.03	-42.19505	0.00046650804	0.0118880213
108	18.19	-42.5277	0.00179469804	0.0095274912
109	18.35	-42.8593	0.00126042876	0.0102897334
110	18.51	-43.25815	0.00086118183	0.0114855789
111	18.67	-43.6548	0.00057329746	0.0128036431
112	18.83	-44.04815	0.00063359926	0.0141947237
113	18.99	-44.4464	0.00044586673	0.0135350372
114	19.15	-44.84365	0.00108541896	0.0153779136
115	19.31	-45.24115	0.00070264925	0.0147239834
116	19.47	-45.64015	0.0027545992	0.0102698644
117	19.63	-46.0366	0.00540926749	0.0088824947
118	19.79	-46.44085	0.00789609587	0.0102314178
119	19.95	-46.83995	0.00133477333	0.0117772317
120	20.11	-47.24805	0.00059643642	0.013344408
121	20.27	-47.649	0.00994638995	0.0096443061
122	20.43	-48.0482	0.00138242423	0.0110567706
123	20.59	-48.43885	0.00042567775	0.0128005223
124	20.75	-48.8416	0.00062022433	0.0142108101
125	20.91	-49.24135	0.00164685674	0.0113531912
126	21.07	-49.73765	0.00136493069	0.0134456809
127	21.23	-50.2533	0.00097448113	0.0151889944
128	21.39	-50.77675	0.00092017438	0.0137824659
129	21.55	-51.29545	0.00107149737	0.0138129987
130	21.71	-51.8217	0.00173566106	0.0149000352
131	21.87	-52.35185	0.00172081421	0.0160180771
132	22.03	-52.87105	0.00108217475	0.0153290913
133	22.19	-53.38915	0.00083721098	0.0155688411
134	22.35	-53.8685	0.00054205056	0.0151308593
135	22.51	-54.3248	0.00075494555	0.0154310869
136	22.67	-54.7786	0.00075028036	0.0136102895
137	22.83	-55.24255	0.00058360052	0.0136106374
138	22.99	-55.7086	0.00075229749	0.0106603591
139	23.15	-56.16105	0.01859101827	0.0090601366
140	23.31	-56.62365	0.00083809937	0.0146267467
141	23.47	-57.08635	0.00077594401	0.0126482353
142	23.63	-57.56985	0.00188823117	0.0109238162
143	23.79	-58.0956	0.00283092787	0.0087328623
144	23.95	-58.60885	0.00249692614	0.0095023865
145	24.11	-59.1252	0.00093168231	0.0129796463
146	24.27	-59.6509	0.000608175	0.0133866075
147	24.43	-60.1614	0.00078217056	0.0137709423
148	24.59	-60.68425	0.00049627723	0.0132926477
149	24.75	-61.20335	0.00177213267	0.0110818277
150	24.91	-61.66485	0.0016935082	0.0118850405
151	25.07	-62.03465	0.00733827635	0.0085367914
152	25.23	-62.40595	0.00066821013	0.0117612092
153	25.39	-62.7759	0.00080585258	0.0115344136
154	25.55	-63.15475	0.00574738408	0.0075075415
155	25.71	-63.53795	0.00105219269	0.0095213123
156	25.87	-63.9171	0.00139794735	0.0098926348
157	26.03	-64.2965	0.002172	0.0103109184
158	26.19	-64.68625	0.0007078412	0.0095880308
159	26.35	-65.12165	0.00209005452	0.0091840845
160	26.51	-65.56355	0.0067392198	0.0068705955
161	26.67	-66.0044	0.00163907023	0.0084920482
162	26.83	-66.44165	0.00088282285	0.009089544
163	26.99	-66.8845	0.00099962879	0.0091677365
164	27.15	-67.3222	0.00064440099	0.0099158107
165	27.31	-67.76515	0.00315610033	0.0095216811
166	27.47	-68.1964	0.00022262615	0.0101535577
167	27.63	-68.61695	0.00125827626	0.0079645924
168	27.79	-69.047	0.01005361151	0.0078145562
169	27.95	-69.46685	0.00119964571	0.0097630742
170	28.11	-69.89355	0.00179186318	0.010570948
171	28.27	-70.33185	0.004995986	0.0091643338
172	28.43	-70.7599	0.00690315795	0.0097495333
173	28.59	-71.18815	0.00316899453	0.0108407472
174	28.75	-71.6122	0.00519306244	0.0095720609
175	28.91	-72.0408	0.00042939666	0.0117568139
176	29.07	-72.4648	0.00037411827	0.0143908715
177	29.23	-72.88285	0.00035390916	0.0178893385
178	29.39	-73.31325	0.00029363629	0.0191793919
179	29.55	-73.73215	0.00185047289	0.0204293394
180	29.71	-74.15855	0.00047825172	0.0204236534
181	29.87	-74.5871	0.00077661539	0.020033441
182	30.03	-75.0044	0.00513304703	0.0142645966
183	30.19	-75.4045	0.00652907623	0.013464725
184	30.35	-75.80565	0.00478656306	0.0152691058
185	30.51	-76.20125	0.00815449805	0.0142711275
186	30.67	-76.60565	0.00083856171	0.0217464802
187	30.83	-76.996	0.00078098167	0.0246009225
188	30.99	-77.3943	0.00117997253	0.0252433929
189	31.15	-77.79	0.00516112698	0.0271655103
190	31.31	-78.18015	0.00238374209	0.026227027
191	31.47	-78.5292	0.00082821984	0.0202969446
192	31.63	-78.8641	0.00120115492	0.0161183257
193	31.79	-79.196	0.00516025573	0.0148915786
194	31.95	-79.5348	0.01006483994	0.0161291041
195	32.11	-79.873	0.01145723734	0.0236475133
196	32.26	-80.19	0.00223850187	0.0231468477
197	32.43	-80.54485	0.00628118715	0.0229225532
198	32.59	-80.87775	0.02777497347	0.0249151775
199	32.75	-81.2155	0.03353764071	0.0247201114
